ParcelID,Address,Ward,Neigh,AssN,Usage,Description,BldgSF,Front,Side1,LotSF,Add#,Street Name
43870001800,4910 San Francisco Av,1,69,301,Residential,1 Story Brick Residence,"1,127",28,135,"3,170",4910,San Francisco
44530000400,4864 Palm St,1,55,301,Residential,1 Story Frame Residence,622,20,107.5,"2,457",4864,Palm
54640000200,4960 Margaretta Av,1,69,301,Residential,2 Story Frame Residence,"1,330",35,118.95,"4,163",4960,Margaretta
43800300200,4237 N Euclid Av,1,69,302,Residential,2 Story Frame Residence,"1,082",33.33,115,"4,082",4237,Euclid
43831700610,4122 Clara Pl,1,69,302,Residential,1 Story Frame Residence,560,75,110,"8,193",4122,Clara
43831702200,4113 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence,630,25,110,"2,750",4113,Walbridge
43831702400,4107 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence,952,50,110,"3,150",4107,Walbridge
43910102800,4877 Carter Av,1,69,302,Residential,2 Story Frame Residence,912,30,120,"3,600",4877,Carter
54630001000,4936 Farlin Av,1,69,302,Residential,2 Story Frame Residence,"1,184",30,120,"3,600",4936,Farlin
50910000800,4926 Geraldine Av,1,71,326,Residential,2 Story Frame Residence,970,33.33,127.5,"4,388",4926,Geraldine
50800001600,5452 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,"1,440",30,127.5,"3,825",5452,Geraldine
50810001300,5448 Union Blvd,1,71,327,Residential,1 Story Frame Residence,957,33.33,127.5,"3,961",5448,Union
50810001800,5462 Union Blvd,1,71,327,Residential,1 Story Brick Residence,760,25,127.5,"2,827",5462,Union
50840001000,5334 Union Blvd,1,71,327,Residential,1.5 Story Frame Residence,"1,197",25,127.5,"3,188",5334,Union
50840002100,5370 Union Blvd,1,71,327,Residential,1 Story Brick Residence,880,25,127.5,"3,187",5370,Union
50840004200,5321 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,920,25,127.5,"3,211",5321,Geraldine
50850000300,5306 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,"1,488",25,127.5,"3,237",5306,Geraldine
50860002100,5064 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,721,25,127.5,"3,113",5064,Geraldine
50860002200,5066 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,782,25,127.5,"3,230",5066,Geraldine
50870001100,5028 Union Blvd,1,71,327,Residential,1 Story Brick Residence,917,25,128,"3,054",5028,Union
50870002700,5072 Union Blvd,1,71,327,Residential,2 Story Frame Residence,990,30,128,"3,840",5072,Union
50880000800,5030 Claxton Av,1,71,327,Residential,1 Story Brick Residence,702,29,125,"3,467",5030,Claxton
50880003500,5091 Union Blvd,1,71,327,Residential,2 Story Frame Residence,"1,080",25,120.6,"2,770",5091,Union
52610001000,4949 Harney Av,1,71,329,Residential,1 Story Frame Residence,"1,120",50,112.5,"5,479",4949,Harney
52620002700,4966 Harney Av,1,71,329,Residential,1 Story Frame Residence,722,25,112.5,"2,812",4966,Harney
54660000200,4917 Ashby Av,1,71,329,Residential,2 Story Frame Residence,945,30,112.5,"3,375",4917,Ashby
54660000700,4935 Ashby Av,1,71,329,Residential,2 Story Frame Residence,"1,088",25,112.6,"2,848",4935,Ashby
44980001700,5239 Terry Av,1,52,343,Residential,1 Story Brick Residence,970,25.16,142.5,"3,576",5239,Terry
44980001800,5243 Terry Av,1,52,343,Residential,1 Story Brick Residence,867,31.1,142.5,"4,432",5243,Terry
44990500600,5206 St Louis Av,1,52,343,Residential,1 Story Brick Residence,852,27.5,137.5,"3,781",5206,St Louis
44990501400,5140 St Louis Av,1,52,343,Residential,1 Story Brick Residence,"1,012",33.33,137,"5,295",5140,St Louis
45000100400,5044 Terry Av,1,52,343,Residential,1 Story Brick Residence,990,25,150,"3,731",5044,Terry
50280000200,5256 Terry Av,1,52,343,Residential,1 Story Brick Residence,912,30,150,"4,369",5256,Terry
50280000800,5238 Terry Av,1,52,343,Residential,1 Story Brick Residence,996,28,142.5,"3,975",5238,Terry
50280003200,2812 Union Blvd,1,52,343,Residential,1 Story Brick Residence,858,25,135,"3,172",2812,Union
45190102400,3321 William Pl,1,50,344,Residential,1.5 Story Frame Residence,882,25,109,"2,533",3321,William
52470002000,5321 Labadie Av,1,50,344,Residential,2.5 Story Frame Residence,"1,320",40,133,"5,320",5321,Labadie
42880002400,8917 Newby St,2,74,333,Residential,1 Story Frame Residence,"1,005",25,127.5,"3,187",8917,Newby
54330002100,1100 Howell St,2,74,333,Residential,1 Story Frame Residence,972,56.42,123,"5,274",1100,Howell
54340000600,8984 Edna St,2,74,333,Residential,1 Story Frame Residence,900,30,127.5,"3,922",8984,Edna
52760001500,928 Canaan Av,2,74,334,Residential,1 Story Frame Residence,880,70,137.5,"8,803",928,Canaan
52770000950,942 Elias Av,2,74,334,Residential,1.5 Story Brick Residence,535,30,127.6,"3,931",942,Elias
53990000600,954 Harlan Av,2,74,334,Residential,1 Story Frame Residence,918,35,127.5,"5,594",954,Harlan
53990002400,868 Harlan Av,2,74,334,Residential,2 Story Frame Residence,"1,104",25,127.5,"2,658",868,Harlan
53990002600,864 Harlan Av,2,74,334,Residential,1 Story Brick Residence,"1,188",50,127.5,"6,244",864,Harlan
53990003100,845 Elias Av,2,74,334,Residential,1.5 Story Frame Residence,"1,440",40,127.5,"5,383",845,Elias
53990005700,979 Elias Av,2,74,334,Residential,1.5 Story Frame Residence,"1,049",42,127.5,"5,519",979,Elias
54010001200,8653 N Broadway,2,74,334,Residential,1 Story Frame Residence,714,25,120,"3,000",8653,Broadway
56370003400,8511 N Broadway,2,74,334,Residential,1 Story Brick Residence,940,30,115,"3,450",8511,Broadway
56370003500,8509 N Broadway,2,74,334,Residential,1 Story Brick Residence,928,30,115,"3,366",8509,Broadway
42500000600,1034 Gimblin St,2,74,335,Residential,2 Story Frame Residence,"1,184",50,150,"7,500",1034,Gimblin
54310001400,1026 Garth Av,2,74,335,Residential,1 Story Brick Residence,940,26.7,158.1,"3,938",1026,Garth
54310001800,1016 Garth Av,2,74,335,Residential,2 Story Frame Residence,"1,377",25,145.5,"2,634",1016,Garth
42300001100,7861 Hall St,2,74,336,Residential,1 Story Frame Residence,"1,179",36.7,94.48,"2,911",7861,Hall
42930002200,8425 Lowell St,2,74,336,Residential,1 Story Concrete Block Residence,705,28.1,107.1,"2,219",8425,Lowell
