ParcelID,Address,Ward,Neigh,AssN,Usage,Description,BldgSF,Front,Side1,LotSF,Add#,Street Name,Latitude,Longitude
43870001800,4910 San Francisco Av,1,69,301,Residential,1 Story Brick Residence,"1,127",28.0,135.0,"3,170",4910,San Francisco,38.6761699,-90.2487908
44530000400,4864 Palm St,1,55,301,Residential,1 Story Frame Residence,622,20.0,107.5,"2,457",4864,Palm,38.6740942,-90.249409
54640000200,4960 Margaretta Av,1,69,301,Residential,2 Story Frame Residence,"1,330",35.0,118.95,"4,163",4960,Margaretta,38.6783661,-90.24930739999999
43800300200,4237 N Euclid Av,1,69,302,Residential,2 Story Frame Residence,"1,082",33.33,115.0,"4,082",4237,Euclid,38.68159,-90.2447612
43831700610,4122 Clara Pl,1,69,302,Residential,1 Story Frame Residence,560,75.0,110.0,"8,193",4122,Clara,38.679691,-90.24777499999999
43831702200,4113 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence,630,25.0,110.0,"2,750",4113,Walbridge,38.679188,-90.24762899999999
43831702400,4107 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence,952,50.0,110.0,"3,150",4107,Walbridge,38.6790865,-90.24760239999999
43903002700,4814 Bessie Av,1,69,302,Residential,1.5 Story Brick Residence,"1,222",30.0,119.0,"3,679",4814,Bessie,38.6799579,-90.2420301
43910102800,4877 Carter Av,1,69,302,Residential,2 Story Frame Residence,912,30.0,120.0,"3,600",4877,Carter,38.683571,-90.242181
54630001000,4936 Farlin Av,1,69,302,Residential,2 Story Frame Residence,"1,184",30.0,120.0,"3,600",4936,Farlin,38.6787784,-90.2480607
50910000800,4926 Geraldine Av,1,71,326,Residential,2 Story Frame Residence,970,33.33,127.5,"4,388",4926,Geraldine,38.6888607,-90.2478682
50800001600,5452 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,"1,440",30.0,127.5,"3,825",5452,Geraldine,38.693388,-90.239459
50810001300,5448 Union Blvd,1,71,327,Residential,1 Story Frame Residence,957,33.33,127.5,"3,961",5448,Union,38.6940219,-90.240304
50810001800,5462 Union Blvd,1,71,327,Residential,1 Story Brick Residence,760,25.0,127.5,"2,827",5462,Union,38.694251,-90.239891
